"name","type","lat","lon","color"
"Ramesh Nagar","metro",28.652744,77.13165,"#4169E1"
"Patel Nagar","metro",28.645013,77.169282,"#4169E1"
"Rithala","metro",28.720806,77.107181,"#FF4040"
"Pratap Nagar","metro",28.666718,77.198897,"#FF4040"
"Pul Bangash","metro",28.666407,77.207416,"#FF4040"
"Kashmere Gate","metro",28.667449,77.228249,"#FF4040"
"Kohat Enclave","metro",28.698041,77.140539,"#FF4040"
"Karol Bagh","metro",28.644012,77.188524,"#4169E1"
"Kirti Nagar (Blue Line)","metro",28.655746,77.150663,"#4169E1"
"Shadipur","metro",28.651583,77.158259,"#4169E1"
"Moti Nagar","metro",28.657859,77.142429,"#4169E1"
"Sikanderpur","metro",28.481272,77.093002,"#FFDF00"
"Delhi Aerocity","metro",28.548779,77.120795,"#FF8C00"
"Hauz Khas (Yellow Line)","metro",28.544256,77.206707,"#FFDF00"
"Shivaji Stadium","metro",28.628896,77.211322,"#FF8C00"
"New Delhi","metro",28.643483,77.222742,"#FFDF00"
"Tis Hazari","metro",28.667163,77.216631,"#FF4040"
"Mannadi","metro",13.095369,80.286079,"#3281c4"
"அரசினர் தோட்டம்","metro",13.069713,80.273004,"#3281c4"
"Shastri Park","metro",28.668434,77.25053,"#FF4040"
"Seelampur","metro",28.669816,77.266814,"#FF4040"
"Welcome (Red Line)","metro",28.671791,77.277847,"#FF4040"
"Shahdara","metro",28.67343,77.289886,"#FF4040"
"Jhilmil","metro",28.67572,77.312395,"#FF4040"
"Shastri Nagar","metro",28.670088,77.181859,"#FF4040"
"Inderlok (Red Line)","metro",28.673589,77.170347,"#FF4040"
"Kanhaiya Nagar","metro",28.682408,77.164775,"#FF4040"
"Keshav Puram","metro",28.688926,77.161683,"#FF4040"
"Netaji Subhash Place (Red Line)","metro",28.696048,77.152486,"#FF4040"
"Madhuban Chowk","metro",28.703268,77.13225,"#FF4040"
"Rohini East","metro",28.707577,77.125997,"#FF4040"
"GTB Nagar","metro",28.698133,77.2064,"#FFDF00"
"IGI Airport","metro",28.556463,77.086699,"#FF8C00"
"Kalkaji Mandir","metro",28.549478,77.25909,"#553592"
"Dhaula Kuan","metro",28.591872,77.161716,"#FF8C00"
"New Delhi Airport Express Terminal","metro",28.642479,77.223112,"#FF8C00"
"Durgapura Metro (u/c)","metro",26.835554,75.793643,""
"Ambabadi Metro (u/c)","metro",26.939729,75.777796,""
"Jungametta (u/c)","metro",17.335318,78.468389,""
